000000013	TOMATE PELADO MIMO 2.5KG	12,00	       17.471,99	               0	               0	            0,00	
00000010	BEBIDA LACTEA LA ZARACENA 1.8LT	EXENTO	        5.200,00	              79	               0	      410.800,00	
000000287	TOMATE PELADO MIMO 390GR	12,00	        3.603,17	               0	               0	            0,00	
000001	SACO DE HARINA DE TRIGO PANADERA	EXENTO	       15.750,00	               0	               0	            0,00	
0000015003	VIUDE DENISE DEMI SEC 0.75LT	EXENTO	        7.753,87	               0	               0	            0,00	
000004	AREQUIPE DECORACION FLOWER 24KG	12,00	       22.783,33	               0	               0	            0,00	
000006	BANDEJA CHARCUTERIA NEGRAS 500UND	12,00	       20.800,00	              12	               0	      249.600,00	
000016	CAJA PIZZA 33X33 GENERICA 50UND	12,00	       36.316,00	               0	               0	            0,00	
0000235	HARINA INTEGRAL DE 1GK	EXENTO	        3.175,42	               0	               0	            0,00	
000024	ACEITUNA RELLENA 20KG	12,00	        7.880,00	               0	               0	            0,00	
000030	ESENCIA VAINILLA NEGRA	12,00	        4.547,00	               0	               0	            0,00	
000032	ABRILLANTADOR DE FRESA 5KG	12,00	       27.550,00	               0	               0	            0,00	
000034	MAIZ DULCE EN GRANO 3 KG	12,00	       26.433,32	               0	               0	            0,00	
000044	MERMELADA DE GUAYABA 20KG	12,00	        2.361,00	               0	               0	            0,00	
000045	MELOCOTONES 3KG	12,00	        4.875,00	               0	               0	            0,00	
000052	PASITAS NEGRAS CHILENAS	EXENTO	       38.500,00	               0	               0	            0,00	
000057	CHAMPINON REBANADOS BIEN STAR 3KG	12,00	        6.377,56	               0	               0	            0,00	
000064	CHOCOLATE DE LECHE BARRA 1KG	12,00	       26.762,80	               0	               0	            0,00	
000067	CAJA 1 PASTEL 100UND	12,00	       19.500,00	               0	               0	            0,00	
000069	CAJA 3 PASTELES 100UND	12,00	       14.000,00	               0	               0	            0,00	
000070	CAJA 6 PASTELES 100UND	12,00	       15.850,13	               0	               0	            0,00	
